used,stock,price,sleeps,length_inc,hp,location
Used,2152116P,73999,4,23.50,185,"Rossford, OH"
Used,2129754,69999,3,24.75,154,"Strafford, MO"
Used,2191536,74799,3,25.00,,"Strafford, MO"
Used,2160891,73399,5,24.83,188,"Dover, FL"
Used,2161364P,71299,2,33.00,,"Wood Village, OR"
Used,2137467P,77999,4,23.50,185,"Jackson, MS"
Used,2151804,72999,4,23.50,185,"Dothan, AL"
Used,2193644,69999,5,29.83,156,"Newport News, VA"
Used,2204010,65999,4,25.00,Dodge Sprinter,"Lubbock, TX"
Used,2160461,68399,3,39.75,,"New River, AZ"
Used,2078984,68999,2,38.75,,"Nashville, TN"
Used,2160460,65999,4,39.00,,"New River, AZ"
Used,2178973,60499,2,25.00,154,"Center Conway, NH"
Used,218487AA,66199,3,25.00,Mercedes-Benz Sprinter,"Meridian, ID"
Used,2205021,58599,2,40.00,,"New River, AZ"
Used,2161664,59999,4,37.50,,"Nashville, TN"
Used,2196067P,49999,4,0.00,,"Anderson, CA"
Used,2182626P,53499,3,25.58,,"Garner, NC"
Used,2206078,88995,5,24.92,188,"Lakewood, NJ"
Used,2184926,84599,4,25.42,,"Bartow, FL"
Used,2138661P,88499,6,24.67,188,"Uxbridge, MA"
Used,2168590,87995,3,23.50,185,"Dothan, AL"
Used,2203479P,88499,3,24.00,185,"Hamburg, NY"
Used,2192578,87999,4,24.00,185,"Kingston, NY"
Used,2113276,86499,4,40.00,,"Bowling Green, KY"
Used,2191934,86199,7,41.92,,"Tulsa, OK"
Used,2182896,85999,5,24.00,185,"Bartow, FL"
Used,2149047,84999,5,24.67,188,"Oklahoma City, OK"
Used,2141388A,84999,5,25.67,188,"Katy, TX"
Used,2191816,86999,5,24.92,188,"Marion, NC"
Used,2190794,86999,3,24.00,185,"Swedesboro, NJ"
Used,2086287,84999,5,24.83,188,"Mesa, AZ"
Used,2194707P,84999,4,25.42,Mercedes-Benz Sprinter,"Sioux Falls, SD"
Used,2208241P,84999,4,23.50,185,"Myrtle Beach, SC"
Used,2206530,84999,5,24.67,188,"Ashland, VA"
Used,2169778,84999,4,23.50,185,"Columbia, SC"
Used,2145736,84999,4,25.00,188,"Akron, OH"
Used,2167750Z,83999,2,39.00,Other,"Idaho Falls, ID"
